user,num_logins,avg_login_hour,unique_pcs,num_files_accessed_file,num_files_to_removable_file,num_files_from_removable_file,unique_files_file,avg_content_length_file,num_emails_sent_email,avg_num_recipients_email,pct_emails_with_attachment_email,avg_content_length_email,avg_size_email,num_decoy_files_accessed_decoy,pct_decoy_files_accessed_decoy,anomaly,anomaly_score
AAB0162,19,12.210526315789474,1,3.0,0.0,0.0,1.0,508.0,32,3.90625,0.125,519.46875,270609.59375,3.0,1.0,1,0.1814118380930445
AAB0398,20,10.5,1,2.0,0.0,0.0,2.0,480.5,38,3.5526315789473686,0.15789473684210525,580.7368421052631,361148.7105263158,2.0,1.0,1,0.17191851524689988
AAC0610,25,12.04,1,96.0,36.0,48.0,46.0,620.6770833333334,9,3.6666666666666665,0.3333333333333333,502.1111111111111,352669.3333333333,12.0,0.125,1,0.08678228158664925
AAC0668,19,11.947368421052632,1,7.0,0.0,0.0,4.0,600.5714285714286,27,3.5925925925925926,0.2222222222222222,534.5185185185185,311847.22222222225,7.0,1.0,1,0.19802265345683673
AAC3270,20,12.0,1,0.0,0.0,0.0,0.0,0.0,3,3.0,0.0,520.3333333333334,29485.666666666668,0.0,0.0,1,0.1582042205594859
AAD2188,20,11.0,1,1.0,0.0,0.0,1.0,6.0,4,4.25,0.0,553.25,25555.75,1.0,1.0,1,0.1055373853015355
AAD3030,20,11.5,1,11.0,0.0,0.0,8.0,777.8181818181819,45,3.7555555555555555,0.2,500.2888888888889,436242.4666666667,11.0,1.0,1,0.15699243947017077
AAF0819,29,11.862068965517242,2,169.0,47.0,98.0,87.0,530.0473372781065,29,3.7586206896551726,0.3793103448275862,597.8620689655172,729704.8965517242,24.0,0.14201183431952663,1,0.04223596079064629
AAF3937,19,11.789473684210526,1,2.0,0.0,0.0,2.0,270.0,3,4.0,0.6666666666666666,690.3333333333334,808801.3333333334,2.0,1.0,1,0.1050626764004357
AAG1447,19,12.894736842105264,1,0.0,0.0,0.0,0.0,0.0,27,3.814814814814815,0.1111111111111111,517.1111111111111,234614.14814814815,0.0,0.0,1,0.19463662738963916
AAG3799,19,12.736842105263158,1,0.0,0.0,0.0,0.0,0.0,45,3.7111111111111112,0.06666666666666667,489.1777777777778,168128.06666666668,0.0,0.0,1,0.1734207980861458
